year,ref,rcp45_0,rcp45_1,rcp45_2,rcp45_3,rcp45_4,rcp45_5,rcp45_6,rcp45_7,rcp45_8,rcp45_9,rcp45_10,rcp45_11,rcp45_12,rcp45_13,rcp45_14,rcp45_15,rcp45_16,rcp45_17,rcp45_18,rcp45_19,rcp45_20,rcp85_0,rcp85_1,rcp85_2,rcp85_3,rcp85_4,rcp85_5,rcp85_6,rcp85_7,rcp85_8,rcp85_9,rcp85_10,rcp85_11,rcp85_12,rcp85_13,rcp85_14,rcp85_15,rcp85_16,rcp85_17,rcp85_18,rcp85_19,rcp85_20,rcp85_21
2005,24.01709,21.76335361604157,22.23332478695926,24.769984718213152,23.09444769663503,21.375606517837866,19.35320502772163,20.845380913711438,22.43033258331593,24.00854157792287,20.569111565633705,22.664176354627557,23.189249781676892,20.191054679420006,22.426278067969406,20.149466077371017,22.842218463225834,23.39388015782032,21.846633668533457,21.078380352718,21.858048381372555,21.03721577312291,21.76335361604157,22.23332478695926,24.769984718213152,23.09444769663503,20.845380913711438,22.43033258331593,24.00854157792287,20.569111565633705,22.664176354627557,23.189249781676892,20.191054679420006,22.426278067969406,20.149466077371017,22.842218463225834,23.39388015782032,21.846633668533457,21.078380352718,21.858048381372555,21.03721577312291,23.034225715247032,24.972798060573098,23.672704290718116
2006,23.557709,21.671193163593443,23.02626000076185,24.051967534260257,22.680508608377522,21.12674879938794,18.97944791562651,21.940895763015988,22.170630358483777,23.644447036274187,20.601219631760728,22.638909816404976,22.760251236852696,19.875315381771202,22.974040031869208,20.81183208270403,22.694503379611376,22.62873239276439,22.206382603185318,20.813073249948047,21.70529499723949,21.015353937680914,21.905710848481533,22.33164022151749,24.69572457310892,22.830869209438845,21.270855620846135,22.36155852962702,23.08949071306489,20.677525024528734,21.954215494043467,22.913718519362646,20.1892684988984,22.655665431732075,20.421189597388206,22.485962842229526,22.70785186315794,21.596422165605418,20.97881939090871,21.277191556934497,20.609075242004508,23.256899426339487,23.587050991198907,23.439361886493884
2007,23.540192,21.303954857054123,22.970399513657526,24.836814673836045,22.486512043370567,20.773917752291766,19.33707966825301,21.64964274984095,21.76589697160074,24.8173182377339,21.747591903221064,23.172774379622865,21.68521195091637,19.898782595670127,22.249793705307127,20.814542359933,22.690483359871905,22.54639344010991,22.549186730201143,20.88151371172387,21.204015034950373,20.79532912288647,21.771774468600256,21.8298207999444,24.447241661661508,23.13176754261434,21.508864558541916,21.874673939443653,23.619669122766084,20.967570312336647,22.075603527065937,21.890023139604466,20.347587196768302,21.971302774067908,20.05171361952688,23.139761045790465,23.112653018145465,21.996728612509514,20.951633831859624,21.903375715129584,22.396984040384552,22.832383065564557,23.405455897419017,23.83238989872524
2008,23.226898,22.30581380076586,22.201876776476922,24.85874309208174,23.30874054936436,20.87614894543566,19.5093955677371,21.62392132171368,21.888855503326795,24.435633003371436,20.75725461631407,22.745471378310583,22.23446209213955,21.126289133279442,22.301194688491307,20.251339755161894,23.524602399933485,22.727907376835674,22.143860271057235,21.329523076981843,21.756313759326076,20.431213579207167,21.55626070425899,22.037688804566415,24.525653273337355,23.78442871578494,20.848817219623243,22.36926138679496,24.03763264085177,20.713954053752104,22.059112762835866,22.090143409820485,20.264942941024174,22.402092378747057,20.56621543879936,23.030235097652906,22.647845336278124,21.999905590982166,21.388412664305577,22.018205166520033,20.23047992800963,23.53151084567571,23.513641081322533,23.523546078830634
2009,23.468872,21.84967855624467,22.412255899946558,24.882062675895668,23.444111123575283,21.269664825195548,19.61986812126031,21.824334707898686,22.247909292563577,23.5275717622618,21.3164936783225,22.753496402619362,22.7052929781442,20.399923166250403,22.867708849613734,20.330399219257515,23.325052224926367,22.841827292677294,22.436959590854713,21.64552559828013,21.33707728626149,20.624328150044448,22.08933744238493,22.797082760215233,24.100487556690723,23.257551784636973,21.791518517092243,23.002999380937638,24.388708312401263,20.31267831401277,22.70332655686593,22.589655295297405,20.075931589398238,22.32929885054517,20.788668416677126,23.078685531355177,22.916004267899098,22.04574488707516,21.7028061962356,21.802617864562194,20.8536592948426,23.125272727868605,24.394124059903334,23.384531684995636
2010,23.915894,21.553167686224583,22.535678889412452,24.83757742571754,23.61482667938037,21.165466710528563,20.23422560944016,21.71145251223396,23.043347338228898,23.410064315787224,20.695287635455486,22.61603950672901,22.80265121836294,19.997942068813813,22.808414444234586,20.37843778632572,23.156476330052953,23.222484902267468,21.696815648140614,21.696808157772182,21.863418296366433,20.989317823120757,22.249905815577222,22.77551122799082,25.174939893155,23.100962725800798,22.165229905136982,21.7745030136295,23.831767758751198,20.835248566807365,23.37788932069145,23.401867616284278,20.201466635111785,22.161047260946646,20.64547656986167,21.710648406566975,23.130181790712072,22.288819527382998,21.072007962369184,22.566987995105592,21.80499489641244,23.650992618736097,24.55795422074931,24.661975544060795
2011,23.772217,22.06005977701659,22.433240563799643,24.116469120323018,23.920832336074454,21.084950048096914,20.191343908208864,21.373339575578882,23.756865172818777,24.155362159988726,20.756753777168512,22.741292581433697,22.491410815016195,20.45046202099303,23.337813965581972,20.152154629144036,23.79233096693349,23.188879073876137,21.871767628061207,22.361560712248206,21.554420994374368,21.275586070167662,22.601863912259944,22.988033501657014,24.924691350600142,23.396405614662626,22.022759756150435,22.353267130374604,23.744552617774218,20.932413095570723,23.159653302410447,22.8913558482011,20.274142709881062,22.66365098286036,20.85189123619557,22.554548642405848,22.732011038589235,22.68131949675842,21.726514530515942,21.349595199550436,21.233836754358606,23.195438464412575,23.58610187545554,24.538324464211655
2012,23.659607,22.02629066311937,23.33508677665469,24.32887655651274,23.73770993657945,20.86549617962129,20.112434011180824,22.035556622768297,22.953268063874987,24.406221649055226,20.622361617590173,21.893960867361272,22.034079806584657,20.517074837715654,22.629797718236034,20.197699214465217,23.530716595520403,22.29228182860362,21.370687093521724,21.57892755980737,22.57205687745443,20.852763883036516,21.33650136265993,23.467697462309843,24.511970003500267,23.629673637201165,21.965391621268395,22.728882075625506,23.94167667149054,20.228574240513012,22.03499087489132,22.365050902761368,20.788199404671673,22.51240445763932,21.626726301692713,22.817710236959158,23.09443060837009,21.798761943982015,22.099281320257944,20.80657138857407,19.817953719124546,23.64462822597335,23.915052600099386,23.75249180527112
2013,23.753723,21.908568849157632,22.978290052725242,24.736626856074622,23.505622594419435,20.5450774887114,19.694440787731537,21.99732406976301,22.667817169028638,25.055936440007486,20.864803067363255,22.612430388882217,21.800826046069346,20.65898567576005,23.34371562313811,20.641564305506165,23.280547042992737,22.966692424468135,21.800412204583324,21.597947136721928,22.83341784567233,20.5797161537825,21.58478379349708,23.086331508306046,24.614906014573478,23.804820907342275,22.27681851949461,23.208997309915446,24.690344807060058,20.733829952342774,22.463452844533833,21.922642679432727,20.286511872842482,22.145396537686338,21.274182366668867,23.039988327108972,23.73889445924806,21.82193539547893,22.03396796787888,21.83265492768396,20.40181850415297,23.77225779933019,24.252063667565096,23.362928998214954
2014,23.599182,23.44108640776301,22.807968565752333,24.77503631850101,23.43628543218,21.378153973481517,19.792818806003822,21.780179785063126,22.474984185024766,25.302904481569726,20.592945696192885,23.020826178717073,22.32332691590898,21.098250848300836,22.375459327531132,20.307463335572493,23.160110514367886,23.073774589209506,22.510687929692494,21.495567603601387,22.347156248905094,21.663266307932076,22.34521725349458,22.2879426014498,24.41255576726877,24.12287546861654,22.193640415055086,23.226922081565192,23.533223101727117,20.49908943982848,22.888703051792675,21.67122964013373,21.127988388316965,22.71145224249642,20.586652825971385,23.095809975123586,24.019260380084063,22.403587321070518,22.130228894280947,21.832735581113354,21.093859725018717,23.571317183122858,25.23635240422601,24.06153504879171
2015,23.734283,22.243614635423285,22.008510897571114,25.16906224513184,24.02545864616536,20.92602669384246,20.25341193068573,21.46169854803901,22.62774410011508,24.508519908190124,21.15557929296051,23.464819839343477,22.46929912201938,20.585314220369185,22.911572080395956,20.72185720408413,23.18819944491503,24.66504031396653,22.91569225947336,22.109687069586414,21.594176560295182,21.117577427599713,21.96507712413859,22.92064144538307,25.308205513804012,24.386643993385746,22.818992251839063,23.38372224132746,23.355187525481483,20.690574949980032,23.3632536849517,22.574551841329026,20.58262999865275,22.615178266196438,21.4072602535486,22.880394397862517,22.20583123162504,22.559560945161593,22.600712630399528,22.37866740151037,21.911381910402724,23.422579409404932,23.280542006307485,24.549327626656293
2016,24.400818,21.86005009475889,22.675305107030795,24.954622653410468,24.49920952087342,20.961871604893815,20.30973173775942,21.955158012051527,22.810685825201915,24.3262735544792,20.85929953167323,23.29843078632939,22.238646634627287,20.14243204078059,22.990213578173098,20.543326550442885,23.282096057319393,23.547533641315795,22.744101387884086,22.453180448217324,21.892774995973127,21.457096170748173,21.127837195478378,22.467262613851233,24.982178310479128,24.291455720396584,21.989098208753774,23.647764607694683,23.64571623138295,20.466670506066123,22.7914786806154,23.01252090177445,20.065483665899592,22.17762298081192,20.259294347052162,23.61299421069765,21.980909890529404,22.161032200583406,22.729648146783916,23.067428069668495,20.54035121725593,23.23648666549758,22.91515124950945,24.246237235296178
2017,24.031952,22.58739827773161,23.372891260548613,25.422708900301473,23.099293740454527,21.007506287338913,19.41025577511448,22.089100631089536,22.524437307726203,24.19070550624616,20.974008542783622,22.95215496403847,22.37826061224382,20.68704916370075,22.50479944945033,20.74201866104403,23.74220640317793,23.117216586605537,22.60832336841719,20.728648507072705,21.69226285810697,21.442798769240255,22.42505747152876,22.49456865694242,24.69428311509745,23.081991711802573,21.995462899639108,22.76864536630535,24.37636074478786,20.82124401842532,22.818202783310937,22.66381385263486,20.706425030766127,22.335443224764447,20.601076751076164,23.190615963479388,22.75270422291419,22.183465596621545,21.788395361068865,21.66674475374441,20.956640529302263,24.119073268370414,23.457073331104596,23.73247643267598
2018,23.967407,22.03837567976194,22.469828962487668,24.939771452881928,23.326895110267742,21.399571747647087,19.587171266732355,21.79080523134047,22.448127513510713,23.681750572594353,21.099594861157527,23.2922638433335,22.35670612538206,20.310903279298714,23.1543201004082,20.594652203503017,22.50516438099885,22.742259424701274,22.339017614699117,21.7262073068178,22.436129250473982,21.684611755813705,21.790652746314436,22.726104147119372,24.866591018451174,24.06467025400508,22.107222500798628,23.08689519097021,25.204367427330396,20.93891064231775,22.999331832341284,23.1457563801153,20.36890878123637,23.633417679824106,21.28814161176689,23.341092476595804,23.788756139852012,21.97634630685917,21.73156231826323,22.35457000161523,20.983639538399473,24.56206568235274,24.006224013842996,24.266544350120114
2019,24.009888,22.091608135872832,22.234194948652714,24.633681284500426,23.72213496454839,21.210239746554976,19.83547816890109,22.132518469401077,22.684139866302644,23.976745754458534,21.326548102080494,22.735810651402005,22.389320331758086,20.214710945813295,22.463758157745758,20.9019810117299,23.076045902554085,22.722973544348235,22.518731356682224,21.80403299222087,22.48914161219841,21.345203860178344,22.663629685797844,22.792555853229658,25.198973928666305,23.187534936873078,22.40560733579008,22.275170902457035,25.077313279480734,20.784689116331094,23.258005527928617,22.604791876929824,21.075162810894426,22.97176384483822,20.844687893514447,23.636776130665965,23.81504622087965,22.46014801035932,21.397867675086673,22.547511628494703,20.487911575597536,24.115137370631885,24.836516722489478,24.458384743898932
