year,ref,rcp45_moy,rcp45_min,rcp45_max,rcp85_moy,rcp85_min,rcp85_max
2080,,-205.78977676634705,-813.2133717421835,56.95739328219929,-175.40448702319563,-773.8381226889638,48.628224308826475
2081,,-189.14400650510916,-685.9596443623614,61.45971504181807,-192.02169142727462,-808.1777627003477,-24.58407718777903
2082,,-154.05397779180407,-637.0921574886174,98.8119059856017,-156.50210330723164,-505.20107662643346,253.2826057102891
2083,,-150.39672729456274,-619.1150387657617,82.14733782271969,-196.8575577354936,-712.7873870594802,48.568628561431524
2084,,-139.4439280806588,-565.4050088470873,158.6734704071862,-215.8261986993969,-558.4826884340928,21.99517094390194
2085,,-163.89591805562267,-578.0459244527655,15.303682128736227,-217.41545412233575,-777.3262890740768,35.3942440961448
2086,,-126.09656379764137,-440.68033933184176,98.73419715076079,-225.97550359278202,-918.5957729817983,17.191247432297132
2087,,-121.77752254346512,-582.4721955449011,117.81780128286891,-225.72040987898683,-688.248008302462,99.26925529931941
2088,,-163.9320495874266,-611.4201723673299,103.85329813690737,-249.76461462430217,-713.7996757025751,-17.917554302686312
2089,,-134.8250040580909,-517.8360382703003,74.86462750595592,-276.29116885097534,-914.4013235813634,80.4455203919797
2090,,-144.37071430058418,-549.077618493361,85.40594221065157,-226.28706004580525,-928.31005164587,88.23538060223473
