year,ref,rcp26_lower,rcp26_middle,rcp26_upper,rcp45_lower,rcp45_middle,rcp45_upper,rcp85_lower,rcp85_middle,rcp85_upper
2047,,1747.401707468304,1811.1078379001433,1850.7046016478262,1688.6483699465878,1817.1293135728351,1951.6144685639597,1734.0579889044966,1840.4109370594367,1911.9805582176516
2048,,1736.3525256880982,1791.1700433593294,1869.6719615564934,1649.9095497954877,1825.4234508663462,2003.1578629790026,1727.38536341125,1866.8527113161958,1996.9991601974082
2049,,1693.0302362809475,1768.1384284372866,1863.408766285983,1695.4741410508996,1806.6807434434656,1992.2432184262673,1749.8957879914017,1835.259581864484,1920.2675427766935
2050,,1669.4313073694073,1778.5098244816563,1860.2552186635617,1685.0005087889788,1817.1408077409965,1940.8283902794885,1750.8726101242598,1827.0836673761373,1902.0854593604488
2051,,1655.0161137320054,1808.9958510344309,1929.3788892373345,1685.8330195828657,1825.5691445293844,1919.5777255541402,1743.847598636281,1822.6958629741512,1940.0203009494612
2052,,1734.6194773543423,1821.5832588107855,1876.1800433342974,1711.8895201473952,1844.2682380219928,2061.180221820525,1730.6476780358287,1856.2310914133438,1968.5004090756502
2053,,1771.777809962558,1847.007224805026,1923.175914639312,1720.3645865793137,1862.4123464825193,1965.314658616701,1693.1350400314316,1863.3319984142995,2033.6592475057516
2054,,1752.781273265824,1842.7698486693014,1932.3480162243127,1695.1727529888603,1843.3178926588248,1982.0789075588855,1732.147886097985,1862.4573743691512,2019.0233583299841
2055,,1698.0576916415228,1819.9522592586352,1952.602487543333,1723.7555606759884,1849.9078499474467,1953.2550589187574,1748.6618481491744,1877.5656659746442,1976.9280392023788
2056,,1720.660293876332,1799.32643156328,1868.7351460244631,1686.251300184738,1813.2647215594902,1991.3756779527191,1762.6671151431967,1865.427006773633,2062.933648538505
2057,,1692.2659268161083,1792.0092000304817,1888.9233656266624,1624.2531302928408,1782.4434866791555,1901.00850159633,1682.8675100506414,1853.116860388518,1986.6869649116124
2058,,1728.7094764432522,1811.2750607962862,1894.5646736185936,1682.2732591559038,1825.8169100084626,1969.1741862510078,1711.0322152082156,1860.132990557422,2024.033216074076
2059,,1675.7790395333448,1744.7415488165382,1814.4533681118892,1687.2628392968195,1868.9665696823224,2000.199207136649,1774.2351296214317,1864.0435110740684,1945.3657111759915
2060,,1697.0731574527665,1811.555051369889,1910.1159028869126,1670.9801208364106,1884.599575233365,2092.772924405816,1745.8359747942184,1880.9140171555289,2017.8247144942225
2061,,1732.0478350614635,1828.2987889847343,1923.6224566582005,1712.178877952295,1836.6857551605056,1966.70281055698,1728.6361862458325,1870.7843902060345,1984.0204012596187
2062,,1675.784756715493,1800.3395951285147,1918.2382449503561,1775.7765352579822,1876.4830377393446,2028.3614557821368,1743.4945401445084,1895.9509751725284,1985.5960550693583
2063,,1702.212085610191,1819.5640547335472,1902.4501548886692,1715.3148255530173,1833.0792289548922,2030.817405036231,1763.7502865426923,1925.2543046023252,2042.244501149396
2064,,1654.9747080207094,1749.8355518234198,1828.1744722203355,1734.9826560568144,1859.2385816909766,2032.717313772178,1816.748739011113,1920.944323541212,2015.833693160543
2065,,1711.4943126872201,1816.4227151527289,1907.3065465829613,1750.9232195732548,1840.8252130253506,1942.6090824110952,1797.6444838965003,1921.596205750211,2133.515126174338
2066,,1666.1154263853566,1841.1857796184372,1976.9568394943285,1715.3544075477366,1857.2939657929305,1983.0095099697032,1803.8055954187903,1930.9774734355585,2027.392911583615
2067,,1715.5720201611562,1849.4216065026333,1927.6941805326421,1691.4097442129626,1825.2229748515808,1898.3182097024835,1815.2541141861868,1961.1147496101541,2085.2773879031693
